"date","pce","pop","psavert","uempmed","unemploy"
1967-06-30,507.8,198712,9.8,4.5,2944
1967-07-31,510.9,198911,9.8,4.7,2945
1967-08-31,516.7,199113,9,4.6,2958
1967-09-30,513.3,199311,9.8,4.9,3143
1967-10-31,518.5,199498,9.7,4.7,3066
1967-11-30,526.2,199657,9.4,4.8,3018
1967-12-31,532,199808,9,5.1,2878
1968-01-31,534.7,199920,9.5,4.5,3001
1968-02-29,545.4,200056,8.9,4.1,2877
1968-03-31,545.1,200208,9.6,4.6,2709
1968-04-30,550.9,200361,9.3,4.4,2740
1968-05-31,557.4,200536,8.9,4.4,2938
1968-06-30,564.4,200706,7.8,4.5,2883
1968-07-31,568.2,200898,7.6,4.2,2768
1968-08-31,569.5,201095,7.6,4.6,2686
1968-09-30,572.9,201290,7.8,4.8,2689
1968-10-31,578,201466,7.6,4.4,2715
1968-11-30,577.9,201621,8.1,4.4,2685
1968-12-31,584.9,201760,7.1,4.4,2718
1969-01-31,590.2,201881,6.5,4.9,2692
1969-02-28,590.4,202023,7,4,2712
1969-03-31,595.4,202161,6.6,4,2758
1969-04-30,601.8,202331,7,4.2,2713
1969-05-31,602.4,202507,7.9,4.4,2816
1969-06-30,604.3,202677,8.7,4.4,2868
1969-07-31,611.5,202877,8.5,4.4,2856
1969-08-31,614.9,203090,8.5,4.7,3040
1969-09-30,620.2,203302,8.3,4.5,3049
1969-10-31,622.1,203500,8.5,4.8,2856
1969-11-30,624.4,203675,8.6,4.6,2884
1969-12-31,630.4,203849,8.3,4.6,3201
1970-01-31,635.7,204008,8.1,4.5,3453
1970-02-28,634,204156,8.8,4.6,3635
1970-03-31,637.7,204401,10.5,4.1,3797
1970-04-30,644.1,204607,9.4,4.7,3919
1970-05-31,648,204830,8.7,4.9,4071
1970-06-30,650.2,205052,10,5.1,4175
1970-07-31,654.7,205295,10,5.4,4256
1970-08-31,660.9,205540,9.8,5.2,4456
1970-09-30,660.1,205788,9.8,5.2,4591
1970-10-31,658.4,206024,10.1,5.6,4898
1970-11-30,667.4,206238,9.7,5.9,5076
1970-12-31,678,206466,10,6.2,4986
1971-01-31,681.3,206668,9.9,6.3,4903
1971-02-28,683.9,206855,10.2,6.4,4987
1971-03-31,690.6,207065,9.9,6.5,4959
1971-04-30,693,207260,10.2,6.7,4996
1971-05-31,701.7,207462,11.4,5.7,4949
1971-06-30,700.8,207661,10.4,6.2,5035
1971-07-31,706.8,207881,10.3,6.4,5134
1971-08-31,715,208114,9.7,5.8,5042
