date_hour,pageviews
2013-01-11 15:00:00,136
2013-01-11 16:00:00,119
2013-01-11 17:00:00,122
2013-01-11 18:00:00,103
2013-01-11 19:00:00,74
2013-01-11 20:00:00,91
2013-01-11 23:00:00,73
2013-01-28 08:00:00,137
2013-01-28 09:00:00,139
2013-01-28 10:00:00,117
2013-01-28 12:00:00,140
2013-01-28 13:00:00,88
2013-01-28 14:00:00,73
2013-01-28 16:00:00,95
2013-02-11 17:00:00,121
2013-02-11 18:00:00,313
2013-02-11 19:00:00,291
2013-02-11 20:00:00,302
2013-02-11 21:00:00,1636
2013-02-11 22:00:00,3295
2013-02-11 23:00:00,3352
2013-02-12 00:00:00,2459
2013-02-12 01:00:00,2549
2013-02-12 02:00:00,2675
2013-02-12 03:00:00,2637
2013-02-12 04:00:00,2688
2013-02-12 05:00:00,1905
2013-02-12 06:00:00,1698
2013-02-12 07:00:00,1635
2013-02-12 08:00:00,2673
2013-02-12 09:00:00,2098
2013-02-12 10:00:00,1646
2013-02-12 11:00:00,1079
2013-02-12 12:00:00,937
2013-02-12 13:00:00,775
2013-02-12 14:00:00,879
2013-02-12 15:00:00,581
2013-02-12 16:00:00,615
2013-02-12 17:00:00,591
2013-02-12 18:00:00,663
2013-02-12 19:00:00,258
2013-02-12 20:00:00,316
2013-02-12 21:00:00,321
2013-02-12 22:00:00,256
2013-02-12 23:00:00,268
2013-02-13 00:00:00,223
2013-02-13 01:00:00,201
2013-02-13 02:00:00,283
2013-02-13 03:00:00,223
2013-02-13 04:00:00,213
2013-02-13 05:00:00,196
2013-02-13 06:00:00,298
2013-02-13 07:00:00,193
2013-02-13 08:00:00,502
2013-02-13 09:00:00,665
2013-02-13 10:00:00,424
2013-02-13 11:00:00,461
2013-02-13 12:00:00,281
2013-02-13 13:00:00,263
2013-02-13 14:00:00,324
2013-02-13 15:00:00,257
2013-02-13 16:00:00,217
2013-02-13 17:00:00,243
2013-02-13 18:00:00,136
2013-02-13 19:00:00,120
2013-02-13 20:00:00,129
2013-02-13 21:00:00,148
2013-02-13 22:00:00,139
2013-02-13 23:00:00,167
2013-02-14 00:00:00,109
2013-02-14 01:00:00,190
2013-02-14 02:00:00,116
2013-02-14 03:00:00,229
2013-02-14 04:00:00,129
2013-02-14 05:00:00,100
2013-02-14 06:00:00,88
2013-02-14 07:00:00,124
2013-02-14 08:00:00,92
2013-02-14 09:00:00,132
2013-02-14 10:00:00,180
2013-02-14 11:00:00,165
2013-02-14 12:00:00,146
2013-02-14 13:00:00,183
2013-02-14 14:00:00,123
2013-02-14 15:00:00,118
2013-02-14 16:00:00,179
2013-02-14 17:00:00,118
2013-02-14 20:00:00,92
2013-02-14 22:00:00,95
2013-02-15 03:00:00,142
2013-02-15 04:00:00,88
2013-02-15 07:00:00,79
2013-02-15 08:00:00,84
2013-02-15 09:00:00,109
2013-02-15 12:00:00,66
2013-02-15 14:00:00,100
2013-02-15 15:00:00,111
2013-02-15 17:00:00,87
2013-02-15 18:00:00,75
2013-02-17 15:00:00,84
2013-02-18 03:00:00,98
2013-02-18 06:00:00,80
2013-02-18 08:00:00,80
2013-02-18 13:00:00,249
2013-02-18 14:00:00,324
2013-02-18 15:00:00,830
2013-02-18 16:00:00,817
2013-02-18 17:00:00,515
2013-02-18 18:00:00,701
2013-02-18 19:00:00,532
2013-02-18 20:00:00,579
2013-02-18 21:00:00,372
2013-02-18 22:00:00,346
2013-02-18 23:00:00,322
2013-02-19 00:00:00,243
2013-02-19 01:00:00,284
2013-02-19 02:00:00,423
2013-02-19 03:00:00,526
2013-02-19 04:00:00,373
2013-02-19 05:00:00,360
2013-02-19 06:00:00,419
2013-02-19 07:00:00,298
2013-02-19 08:00:00,460
2013-02-19 09:00:00,412
2013-02-19 10:00:00,399
2013-02-19 11:00:00,302
2013-02-19 12:00:00,252
2013-02-19 13:00:00,503
2013-02-19 14:00:00,272
2013-02-19 15:00:00,276
2013-02-19 16:00:00,369
2013-02-19 17:00:00,371
2013-02-19 18:00:00,387
2013-02-19 19:00:00,216
2013-02-19 20:00:00,214
2013-02-19 21:00:00,233
2013-02-19 22:00:00,205
2013-02-19 23:00:00,191
2013-02-20 00:00:00,170
2013-02-20 02:00:00,178
2013-02-20 03:00:00,223
2013-02-20 04:00:00,147
2013-02-20 05:00:00,195
2013-02-20 06:00:00,126
2013-02-20 07:00:00,121
2013-02-20 08:00:00,132
2013-02-20 09:00:00,143
2013-02-20 10:00:00,223
2013-02-20 11:00:00,156
2013-02-20 12:00:00,227
2013-02-20 13:00:00,125
2013-02-20 14:00:00,182
2013-02-20 15:00:00,161
2013-02-20 16:00:00,211
2013-02-20 17:00:00,141
2013-02-20 18:00:00,150
2013-02-20 20:00:00,126
2013-02-20 21:00:00,116
2013-02-20 22:00:00,112
2013-02-20 23:00:00,95
2013-02-21 00:00:00,73
2013-02-21 01:00:00,96
2013-02-21 02:00:00,168
2013-02-21 03:00:00,179
2013-02-21 04:00:00,133
2013-02-21 05:00:00,113
2013-02-21 06:00:00,100
2013-02-21 07:00:00,152
2013-02-21 08:00:00,167
2013-02-21 09:00:00,189
2013-02-21 10:00:00,200
2013-02-21 11:00:00,120
2013-02-21 12:00:00,92
2013-02-21 13:00:00,94
2013-02-21 14:00:00,114
2013-02-21 15:00:00,215
2013-02-21 16:00:00,117
