"date","variable","value","value01"
1967-07-01,"pce",507.4,0
1967-08-01,"pce",510.5,0.000266000806583093
1967-09-01,"pce",516.3,0.000763679735028872
1967-10-01,"pce",512.9,0.000471936914905484
1967-11-01,"pce",518.1,0.000918131816270673
1967-12-01,"pce",525.8,0.00157884349713834
1968-01-01,"pce",531.5,0.00206794175440403
1968-02-01,"pce",534.2,0.00229961987626673
1968-03-01,"pce",544.9,0.00321775169253739
1968-04-01,"pce",544.6,0.0031920096789971
1968-05-01,"pce",550.4,0.00368968860744287
1968-06-01,"pce",556.8,0.00423885156296925
1968-07-01,"pce",563.8,0.00483949854557623
1968-08-01,"pce",567.6,0.00516556405042003
1968-09-01,"pce",568.8,0.00526853210458122
1968-10-01,"pce",572.3,0.00556885559588471
1968-11-01,"pce",577.4,0.0060064698260698
1968-12-01,"pce",577.2,0.0059893084837096
1969-01-01,"pce",584.2,0.00658995546631658
1969-02-01,"pce",589.5,0.00704473103886186
1969-03-01,"pce",589.7,0.00706189238122206
1969-04-01,"pce",594.7,0.00749092594022705
1969-05-01,"pce",601.1,0.00804008889575343
1969-06-01,"pce",601.7,0.00809157292283403
1969-07-01,"pce",603.5,0.00824602500407582
1969-08-01,"pce",610.8,0.00887241400022309
1969-09-01,"pce",614.1,0.00915557614916639
1969-10-01,"pce",619.4,0.00961035172171167
1969-11-01,"pce",621.4,0.00978196514531367
1969-12-01,"pce",623.7,0.00997932058245597
1970-01-01,"pce",629.6,0.0104855801820818
1970-02-01,"pce",634.9,0.0109403557546271
1970-03-01,"pce",633.2,0.0107944843445654
1970-04-01,"pce",637,0.0111205498494092
1970-05-01,"pce",643.4,0.0116697128049356
1970-06-01,"pce",647.2,0.0119957783097794
1970-07-01,"pce",649.5,0.0121931337469217
1970-08-01,"pce",653.9,0.0125706832788461
1970-09-01,"pce",660.1,0.0131026848920123
1970-10-01,"pce",659.3,0.0130340395225715
1970-11-01,"pce",657.6,0.0128881681125098
1970-12-01,"pce",666.6,0.0136604285187187
1971-01-01,"pce",677.2,0.0145699796638093
1971-02-01,"pce",680.4,0.0148445611415725
1971-03-01,"pce",683,0.0150676585922551
1971-04-01,"pce",689.8,0.0156511442325019
1971-05-01,"pce",692.2,0.0158570803408243
