date,beef,veal,pork,lamb_and_mutton,broilers,other_chicken,turkey
1944-01-01 00:00:00,751.0,85.0,1280.0,89.0,,,
1944-02-01 00:00:00,713.0,77.0,1169.0,72.0,,,
1944-03-01 00:00:00,741.0,90.0,1128.0,75.0,,,
1944-04-01 00:00:00,650.0,89.0,978.0,66.0,,,
1944-05-01 00:00:00,681.0,106.0,1029.0,78.0,,,
1944-06-01 00:00:00,658.0,125.0,962.0,79.0,,,
1944-07-01 00:00:00,662.0,142.0,796.0,82.0,,,
1944-08-01 00:00:00,787.0,175.0,748.0,87.0,,,
1944-09-01 00:00:00,774.0,182.0,678.0,91.0,,,
1944-10-01 00:00:00,834.0,215.0,777.0,100.0,,,
1944-11-01 00:00:00,786.0,197.0,944.0,91.0,,,
1944-12-01 00:00:00,764.0,146.0,1013.0,91.0,,,
1945-01-01 00:00:00,820.0,119.0,1037.0,100.0,,,
1945-02-01 00:00:00,816.0,97.0,724.0,81.0,,,
1945-03-01 00:00:00,836.0,107.0,723.0,87.0,,,
1945-04-01 00:00:00,736.0,98.0,651.0,78.0,,,
1945-05-01 00:00:00,747.0,103.0,682.0,87.0,,,
1945-06-01 00:00:00,739.0,110.0,674.0,87.0,,,
1945-07-01 00:00:00,736.0,117.0,610.0,82.0,,,
1945-08-01 00:00:00,858.0,145.0,531.0,77.0,,,
1945-09-01 00:00:00,910.0,164.0,535.0,80.0,,,
1945-10-01 00:00:00,1022.0,201.0,628.0,95.0,,,
1945-11-01 00:00:00,933.0,173.0,945.0,86.0,,,
1945-12-01 00:00:00,783.0,118.0,1103.0,90.0,,,
1946-01-01 00:00:00,856.0,101.0,1051.0,74.0,,,
1946-02-01 00:00:00,827.0,85.0,966.0,109.0,,,
1946-03-01 00:00:00,796.0,92.0,780.0,97.0,,,
1946-04-01 00:00:00,734.0,91.0,846.0,83.0,,,
1946-05-01 00:00:00,605.0,83.0,810.0,65.0,,,
1946-06-01 00:00:00,461.0,78.0,505.0,75.0,,,
1946-07-01 00:00:00,954.0,140.0,903.0,77.0,,,
1946-08-01 00:00:00,871.0,138.0,601.0,72.0,,,
1946-09-01 00:00:00,366.0,98.0,124.0,63.0,,,
1946-10-01 00:00:00,840.0,167.0,662.0,96.0,,,
1946-11-01 00:00:00,844.0,142.0,1010.0,71.0,,,
1946-12-01 00:00:00,856.0,114.0,962.0,64.0,,,
1947-01-01 00:00:00,935.0,113.0,1054.0,74.0,,,
1947-02-01 00:00:00,778.0,93.0,709.0,62.0,,,
1947-03-01 00:00:00,829.0,104.0,606.0,62.0,,,
1947-04-01 00:00:00,831.0,108.0,656.0,65.0,,,
1947-05-01 00:00:00,846.0,110.0,678.0,65.0,,,
1947-06-01 00:00:00,804.0,118.0,667.0,60.0,,,
1947-07-01 00:00:00,839.0,136.0,661.0,59.0,,,
1947-08-01 00:00:00,766.0,131.0,534.0,57.0,,,
1947-09-01 00:00:00,888.0,154.0,549.0,66.0,,,
1947-10-01 00:00:00,924.0,163.0,700.0,76.0,,,
1947-11-01 00:00:00,813.0,145.0,932.0,66.0,,,
1947-12-01 00:00:00,843.0,118.0,1065.0,67.0,,,
1948-01-01 00:00:00,856.0,106.0,929.0,65.0,,,
1948-02-01 00:00:00,662.0,87.0,679.0,60.0,,,
1948-03-01 00:00:00,727.0,99.0,672.0,60.0,,,
1948-04-01 00:00:00,700.0,101.0,629.0,53.0,,,
1948-05-01 00:00:00,650.0,97.0,653.0,47.0,,,
1948-06-01 00:00:00,733.0,118.0,774.0,58.0,,,
1948-07-01 00:00:00,681.0,116.0,576.0,55.0,,,
1948-08-01 00:00:00,705.0,121.0,463.0,59.0,,,
1948-09-01 00:00:00,773.0,127.0,514.0,68.0,,,
1948-10-01 00:00:00,752.0,126.0,690.0,73.0,,,
1948-11-01 00:00:00,744.0,119.0,896.0,67.0,,,
1948-12-01 00:00:00,783.0,106.0,1011.0,63.0,,,
1949-01-01 00:00:00,779.0,91.0,915.0,60.0,,,
1949-02-01 00:00:00,697.0,82.0,701.0,51.0,,,
1949-03-01 00:00:00,794.0,98.0,737.0,47.0,,,
1949-04-01 00:00:00,721.0,91.0,647.0,34.0,,,
1949-05-01 00:00:00,747.0,92.0,630.0,38.0,,,
1949-06-01 00:00:00,765.0,103.0,657.0,42.0,,,
1949-07-01 00:00:00,743.0,103.0,584.0,45.0,,,
1949-08-01 00:00:00,835.0,123.0,605.0,54.0,,,
1949-09-01 00:00:00,821.0,121.0,637.0,55.0,,,
1949-10-01 00:00:00,772.0,120.0,764.0,56.0,,,
1949-11-01 00:00:00,751.0,119.0,957.0,52.0,,,
1949-12-01 00:00:00,717.0,97.0,1041.0,53.0,,,
1950-01-01 00:00:00,780.0,87.0,965.0,55.0,,,
1950-02-01 00:00:00,676.0,80.0,699.0,46.0,,,
1950-03-01 00:00:00,775.0,96.0,807.0,49.0,,,
1950-04-01 00:00:00,694.0,87.0,702.0,44.0,,,
1950-05-01 00:00:00,774.0,93.0,716.0,47.0,,,
1950-06-01 00:00:00,753.0,97.0,718.0,48.0,,,
1950-07-01 00:00:00,754.0,97.0,617.0,46.0,,,
1950-08-01 00:00:00,829.0,108.0,633.0,52.0,,,
1950-09-01 00:00:00,832.0,107.0,667.0,51.0,,,
1950-10-01 00:00:00,814.0,105.0,806.0,51.0,,,
1950-11-01 00:00:00,794.0,98.0,978.0,47.0,,,
1950-12-01 00:00:00,773.0,82.0,1089.0,45.0,,,
1951-01-01 00:00:00,842.0,81.0,1085.0,54.0,,,
1951-02-01 00:00:00,650.0,66.0,720.0,38.0,,,
1951-03-01 00:00:00,696.0,73.0,837.0,39.0,,,
1951-04-01 00:00:00,658.0,67.0,813.0,36.0,,,
1951-05-01 00:00:00,716.0,71.0,798.0,34.0,,,
1951-06-01 00:00:00,591.0,78.0,798.0,39.0,,,
1951-07-01 00:00:00,676.0,86.0,686.0,42.0,,,
1951-08-01 00:00:00,767.0,98.0,753.0,44.0,,,
1951-09-01 00:00:00,697.0,87.0,715.0,41.0,,,
1951-10-01 00:00:00,789.0,106.0,885.0,53.0,,,
1951-11-01 00:00:00,768.0,91.0,1023.0,47.0,,,
1951-12-01 00:00:00,699.0,68.0,1077.0,41.0,,,
1952-01-01 00:00:00,810.0,75.0,1130.0,54.0,,,
1952-02-01 00:00:00,721.0,66.0,945.0,52.0,,,
1952-03-01 00:00:00,685.0,70.0,924.0,51.0,,,
1952-04-01 00:00:00,703.0,71.0,839.0,50.0,,,
1952-05-01 00:00:00,742.0,77.0,736.0,49.0,,,
1952-06-01 00:00:00,698.0,83.0,727.0,46.0,,,
1952-07-01 00:00:00,786.0,94.0,653.0,43.0,,,
1952-08-01 00:00:00,793.0,100.0,637.0,49.0,,,
1952-09-01 00:00:00,841.0,111.0,720.0,59.0,,,
1952-10-01 00:00:00,933.0,128.0,894.0,68.0,,,
1952-11-01 00:00:00,768.0,105.0,937.0,52.0,,,
1952-12-01 00:00:00,857.0,100.0,1179.0,62.0,,,
1953-01-01 00:00:00,926.0,91.0,1029.0,67.0,,,
1953-02-01 00:00:00,849.0,80.0,759.0,57.0,,,
1953-03-01 00:00:00,931.0,94.0,809.0,63.0,,,
1953-04-01 00:00:00,989.0,102.0,714.0,58.0,,,
1953-05-01 00:00:00,961.0,107.0,619.0,52.0,,,
1953-06-01 00:00:00,999.0,128.0,644.0,50.0,,,
1953-07-01 00:00:00,1034.0,138.0,597.0,54.0,,,
1953-08-01 00:00:00,1007.0,142.0,582.0,55.0,,,
1953-09-01 00:00:00,1085.0,152.0,664.0,64.0,,,
1953-10-01 00:00:00,1144.0,162.0,793.0,73.0,,,
1953-11-01 00:00:00,1037.0,133.0,888.0,58.0,,,
1953-12-01 00:00:00,1093.0,122.0,873.0,64.0,,,
1954-01-01 00:00:00,1076.0,111.0,809.0,66.0,,,
1954-02-01 00:00:00,921.0,99.0,656.0,59.0,,,
1954-03-01 00:00:00,1068.0,121.0,770.0,61.0,,,
1954-04-01 00:00:00,988.0,111.0,661.0,58.0,,,
1954-05-01 00:00:00,1007.0,115.0,616.0,54.0,,,
1954-06-01 00:00:00,1066.0,138.0,649.0,59.0,,,
1954-07-01 00:00:00,1078.0,143.0,596.0,59.0,,,
1954-08-01 00:00:00,1080.0,149.0,641.0,60.0,,,
1954-09-01 00:00:00,1098.0,154.0,757.0,62.0,,,
1954-10-01 00:00:00,1086.0,153.0,818.0,63.0,,,
1954-11-01 00:00:00,1059.0,134.0,947.0,59.0,,,
1954-12-01 00:00:00,1074.0,123.0,1012.0,61.0,,,
1955-01-01 00:00:00,1073.0,114.0,939.0,66.0,,,
1955-02-01 00:00:00,924.0,100.0,771.0,59.0,,,
1955-03-01 00:00:00,1084.0,119.0,905.0,68.0,,,
1955-04-01 00:00:00,1013.0,109.0,744.0,63.0,,,
1955-05-01 00:00:00,1075.0,118.0,707.0,64.0,,,
1955-06-01 00:00:00,1144.0,130.0,667.0,60.0,,,
1955-07-01 00:00:00,1045.0,123.0,594.0,53.0,,,
1955-08-01 00:00:00,1227.0,143.0,726.0,62.0,,,
1955-09-01 00:00:00,1206.0,147.0,808.0,66.0,,,
1955-10-01 00:00:00,1172.0,142.0,948.0,62.0,,,
1955-11-01 00:00:00,1136.0,129.0,1073.0,60.0,,,
1955-12-01 00:00:00,1114.0,113.0,1145.0,61.0,,,
1956-01-01 00:00:00,1231.0,115.0,1057.0,71.0,,,
1956-02-01 00:00:00,1087.0,108.0,923.0,64.0,,,
1956-03-01 00:00:00,1131.0,113.0,954.0,66.0,,,
1956-04-01 00:00:00,1122.0,113.0,812.0,60.0,,,
1956-05-01 00:00:00,1194.0,122.0,777.0,54.0,,,
1956-06-01 00:00:00,1172.0,124.0,711.0,52.0,,,
1956-07-01 00:00:00,1198.0,133.0,690.0,57.0,,,
1956-08-01 00:00:00,1202.0,151.0,721.0,62.0,,,
1956-09-01 00:00:00,1105.0,141.0,767.0,57.0,,,
1956-10-01 00:00:00,1304.0,169.0,967.0,71.0,,,
1956-11-01 00:00:00,1201.0,141.0,1011.0,58.0,,,
1956-12-01 00:00:00,1143.0,111.0,894.0,56.0,,,
1957-01-01 00:00:00,1326.0,128.0,913.0,72.0,,,
1957-02-01 00:00:00,1082.0,107.0,778.0,60.0,,,
1957-03-01 00:00:00,1099.0,112.0,831.0,56.0,,,
1957-04-01 00:00:00,1085.0,113.0,786.0,57.0,,,
